_id,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card47,card48,card49,card50,card51,card52,gameId,playerId,handNumber,strategy,bidSelfOrder,bidSelfBid,bidRightBid,bidPartnerBid,bidLeftBid,scoreSelfTeamScore,scoreSelfTeamBags,scoreOtherTeamScore,scoreOtherTeamBags,tricksTaken,scoreChange,bagsChange,finalBags,winner,finalScore
ObjectId(59fea15fcfb0a004a0587019),0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,ZobMkk9bOk,6,randFromNumberOfSpades,1,1,,,,7,9,-2,2,1,6,0,4,0,-58
ObjectId(59fea15fcfb0a004a058701a),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,Ol67SN4CLV,6,randFromNumberOfSpades,2,7,1,,,-2,2,7,9,3,-13,0,4,1,-51
ObjectId(59fea15fcfb0a004a058701b),1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,6,randFromNumberOfSpades,3,5,7,1,,7,9,-2,2,5,6,0,4,0,-58
ObjectId(59fea15fcfb0a004a058701c),0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,N55VD673x5,6,randFromNumberOfSpades,4,6,5,7,1,-2,2,7,9,4,-13,0,4,1,-51
ObjectId(59fea16dcfb0a004a0587051),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,Ol67SN4CLV,7,randFromNumberOfSpades,1,5,,,,-15,2,13,9,6,-10,0,4,1,-51
ObjectId(59fea16dcfb0a004a0587052),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,7,randFromNumberOfSpades,2,3,5,,,13,9,-15,2,1,-5,0,4,0,-58
ObjectId(59fea16dcfb0a004a0587053),0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,N55VD673x5,7,randFromNumberOfSpades,3,5,3,5,,-15,2,13,9,3,-10,0,4,1,-51
ObjectId(59fea16dcfb0a004a0587054),1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,ZobMkk9bOk,7,randFromNumberOfSpades,4,2,5,3,5,13,9,-15,2,3,-5,0,4,0,-58
ObjectId(59fea17acfb0a004a0587089),0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,8,randFromNumberOfSpades,1,6,,,,8,9,-25,2,2,-9,0,4,0,-58
ObjectId(59fea17bcfb0a004a058708a),0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,N55VD673x5,8,randFromNumberOfSpades,2,2,6,,,-25,2,8,9,3,7,1,4,1,-51
ObjectId(59fea17bcfb0a004a058708b),0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,ZobMkk9bOk,8,randFromNumberOfSpades,3,3,2,6,,8,9,-25,2,3,-9,0,4,0,-58
ObjectId(59fea17bcfb0a004a058708c),1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,Ol67SN4CLV,8,randFromNumberOfSpades,4,5,3,2,6,-25,2,8,9,5,7,1,4,1,-51
ObjectId(59fea189cfb0a004a05870c1),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,N55VD673x5,9,randFromNumberOfSpades,1,8,,,,-18,3,-1,9,5,-14,0,4,1,-51
ObjectId(59fea189cfb0a004a05870c2),1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,ZobMkk9bOk,9,randFromNumberOfSpades,2,2,8,,,-1,9,-18,3,2,3,2,4,0,-58
ObjectId(59fea189cfb0a004a05870c3),0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,Ol67SN4CLV,9,randFromNumberOfSpades,3,6,2,8,,-18,3,-1,9,3,-14,0,4,1,-51
ObjectId(59fea189cfb0a004a05870c4),0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,9,randFromNumberOfSpades,4,1,6,2,8,-1,9,-18,3,3,3,2,4,0,-58
ObjectId(59fea196cfb0a004a05870f9),0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,ZobMkk9bOk,10,randFromNumberOfSpades,1,3,,,,-8,1,-32,3,4,8,1,4,0,-58
ObjectId(59fea196cfb0a004a05870fa),0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,Ol67SN4CLV,10,randFromNumberOfSpades,2,2,3,,,-32,3,-8,1,3,4,0,4,1,-51
ObjectId(59fea196cfb0a004a05870fb),1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,10,randFromNumberOfSpades,3,5,2,3,,-8,1,-32,3,5,8,1,4,0,-58
ObjectId(59fea196cfb0a004a05870fc),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,N55VD673x5,10,randFromNumberOfSpades,4,2,5,2,3,-32,3,-8,1,1,4,0,4,1,-51
ObjectId(59fea1a4cfb0a004a0587131),0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,Ol67SN4CLV,11,randFromNumberOfSpades,1,2,,,,-28,3,0,2,2,3,1,4,1,-51
ObjectId(59fea1a4cfb0a004a0587132),0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,11,randFromNumberOfSpades,2,2,2,,,0,2,-28,3,7,7,2,4,0,-58
ObjectId(59fea1a4cfb0a004a0587133),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,N55VD673x5,11,randFromNumberOfSpades,3,1,2,2,,-28,3,0,2,2,3,1,4,1,-51
