_id,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card47,card48,card49,card50,card51,card52,gameId,playerId,handNumber,strategy,bidSelfOrder,bidSelfBid,bidRightBid,bidPartnerBid,bidLeftBid,scoreSelfTeamScore,scoreSelfTeamBags,scoreOtherTeamScore,scoreOtherTeamBags,tricksTaken,scoreChange,bagsChange,finalBags,winner,finalScore,learningVersion
ObjectId(5a120fb9e10a9b00012aecf6),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,HCTerku3ef8GgnpOhDuERjGU8ThuCe,R8fGOimVdV,29,nn,4,3,3,3,3,45,7,46,8,2,6,0,7,,51,0.2
ObjectId(5a120fbfe10a9b00012aed2b),0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,IrgJ8aJKkQR5wwzo55iHA67zY3doJf,yMKEmnPcqm,1,nn,1,3,,,,0,0,0,0,,,,,,,0.2
ObjectId(5a120fbfe10a9b00012aed2c),0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,IrgJ8aJKkQR5wwzo55iHA67zY3doJf,OmAtF3ABcV,1,nn,2,3,3,,,0,0,0,0,,,,,,,0.2
ObjectId(5a120fbfe10a9b00012aed2d),0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,IrgJ8aJKkQR5wwzo55iHA67zY3doJf,1x9QmHRHZt,1,nn,3,3,3,3,,0,0,0,0,,,,,,,0.2
ObjectId(5a120fbfe10a9b00012aed2e),1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,IrgJ8aJKkQR5wwzo55iHA67zY3doJf,LqORs9LsN6,1,nn,4,3,3,3,3,0,0,0,0,,,,,,,0.2
ObjectId(5a1211f84c15fb000181f757),0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,nN5SB5evQQ,1,nn,1,8,,,,0,0,0,0,3,-19,0,,,,0.3
ObjectId(5a1211f84c15fb000181f758),0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,HL1nq9P1WN,1,nn,2,11,8,,,0,0,0,0,2,-16,0,,,,0.3
ObjectId(5a1211f84c15fb000181f759),0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,Fb3cr6NaUn,1,nn,3,11,11,8,,0,0,0,0,3,-19,0,,,,0.3
ObjectId(5a1211f84c15fb000181f75a),1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,mjDJZKFVrG,1,nn,4,5,11,11,8,0,0,0,0,4,-16,0,,,,0.3
ObjectId(5a1211fd4c15fb000181f78f),0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,UkFWuF1buX4eNzKhZPOX3OSFsoLYrI,HL1nq9P1WN,2,nn,1,4,,,,-16,0,-19,0,3,-17,0,,,,0.3
